sofifa_id, long_name, overall, potencial
143699,Gökhan Gönül,76.125,76.125
146296,Andrés Eduardo Fernández Moreno,76.625,77.125
151508,Steven Davis,75.125,75.125
156519,Héctor Miguel Herrera López,79.625,80.875
158543,Oribe Peralta Morones,73.375,73.375
162220,Sinan Bolat,72.75,73.625
164769,Steven Fletcher,72.25,72.375
167669,Federico Fernando Higuaín,75.625,75.625
170370,Jonathan dos Santos Ramírez,77.875,79.5
171875,Caner Erkin,76.125,77.375
171897,José Andrés Guardado Hernández,79.625,79.75
172143,Lasse Schøne,75.75,75.75
172862,Niklas Moisander,75.625,75.625
176094,Przemysław Tytoń,71.5,71.75
176376,Ignacio Piatti,78.125,78.125
177019,Fabian Lustenberger,75.625,76.125
177604,Ignacio Monreal Eraso,79.5,79.5
177922,Kamil Grosicki,74.5,75.125
183569,Jean-Eric Maxim Choupo-Moting,76.625,77.375
184575,Romain Alessandrini,76.5,77.5
184789,Ádám Szalai,74.25,74.875
186351,Leroy Johan Fer,75.5,77.0
188042,Matías Ezequiel Suárez,76.25,76.625
188270,Bruno Écuélé Manga,74.375,74.75
188337,Mubarak Wakaso,73.5,74.5
188770,Admir Mehmedi,76.0,77.625
189068,Bas Leon Dost,79.5,80.125
189156,Daniel Filipe Martins Carriço,78.125,78.875
189251,Sebastian Rudy,78.0,79.0
189881,Chris Smalling,79.75,81.375
190520,Tony Jantschke,76.25,77.25
190544,Adem Ljajić,78.5,80.875
190971,Osvaldo Alonso Moreno,75.875,75.875
192629,Iago Aspas Juncal,82.0,82.5
192667,Allan-Roméo Nyom,75.75,75.875
192774,Konstantinos Manolas,82.75,84.875
193474,Idrissa Gana Gueye,80.125,81.875
193504,Steven Caulker,73.0,76.375
193525,Mário Figueira Fernandes,80.375,82.375
193532,Gary Alexis Medel Soto,79.0,79.25
193844,Francisco Portillo Soler,74.125,74.625
194079,Alper Potuk,74.875,77.25
194359,長友 佑都,74.125,74.125
194404,Norberto Murara Neto,81.0,82.375
194911,Adrián San Miguel del Castillo,77.125,77.375
197083,Daniel Caligiuri,78.0,78.5
197965,Luís Miguel Afonso Fernandes,81.25,82.125
198009,Mattia Perin,81.375,86.25
198077,Patrick Herrmann,77.875,79.25
198113,Marco Höger,75.125,76.25
198141,Marc Bartra Aregall,80.375,82.5
198200,Benjamin Stambouli,76.5,78.5
199069,Vincent Paté Aboubakar,77.5,80.125
199422,Jordy Clasie,75.875,77.75
199482,Anthony Lopes,82.125,85.0
199503,Granit Xhaka,80.5,83.5
199767,Marco van Ginkel,76.625,80.375
200145,Carlos Henrique Venancio Casimiro,84.125,86.875
200458,Lucas Digne,79.875,83.75
200647,Josip Iličić,80.875,81.0
201118,Cédric Ricardo Alves Soares,77.0,79.25
201144,Milan Badelj,77.625,78.25
201399,Mauro Emanuel Icardi Rivero,82.625,86.5
201510,Layvin Kurzawa,78.25,82.375
202087,Johannes Geis,75.5,79.125
202515,Jesé Rodríguez Ruíz,75.625,79.25
203038,Gustavo Lucas Domingues Piazón,73.5,77.875
203486,Thorgan Hazard,80.125,83.25
203551,Alessandro Florenzi,80.25,82.125
204523,Rubén Pardo Gutiérrez,75.25,78.625
205498,Luiz Frello Filho Jorge,81.25,84.5
205600,Samuel Yves Umtiti,82.0,86.125
205601,Christian Atsu Twasam,74.75,77.125
205943,Vlad Iulian Chiricheș,76.125,77.125
206058,Mattia De Sciglio,76.625,80.75
209329,Matheus Dória Macedo,74.0,79.25
209331,Mohamed Salah Ghaly,84.625,87.625
210935,Domenico Berardi,79.625,84.0
211368,Armindo Tué Na Bangna,77.25,82.125
212198,Bruno Miguel Borges Fernandes,81.0,86.0
215079,Pablo Javier Pérez,75.625,75.625
215316,Gerónimo Rulli,80.5,85.375
215466,Nikola Maksimović,78.0,81.375
215785,Keita Baldé Diao,78.0,84.25
138798,Germán Darío Lux,73.375,73.375
140498,David Marshall,72.875,72.875
143587,Fernando Daniel Belluschi,75.375,75.375
152567,Alexander Banor Tettey,72.625,72.625
152879,Mark Noble,75.875,76.0
156412,José de Jesús Corona Rodríguez,75.375,75.375
163761,Curtis Davies,74.625,74.625
164835,Łukasz Fabiański,79.75,79.75
166072,Danilo Larangeira,76.5,76.5
169216,Shane Patrick Long,74.625,74.75
169706,Jack Cork,77.0,78.0
169792,Jay Rodriguez,76.0,77.0
171791,José Miguel da Rocha Fonte,79.5,79.5
171828,Ignacio Martín Scocco,75.0,75.0
172013,Alberto de la Bella Madureño,73.75,73.75
172203,Fraser Forster,75.75,76.625
172522,Daniel Wass,79.25,80.0
172962,Victor Moses,77.375,79.0
173474,Zlatko Junuzović,77.375,77.875
175254,Felipe Salvador Caicedo Corozo,77.375,78.25
176285,Winston Wiremu Reid,76.5,77.0
176919,Nahuel Ignacio Guzmán,77.625,77.625
176942,Carl Mikael Lustig,72.375,72.5
182888,Håvard Nordtveit,75.375,76.875
183394,Moussa Sissoko,78.0,79.125
183427,Fabian Delph,77.0,78.625
183540,Barry Ryan Bannan,72.75,73.625
185181,Yoel Rodríguez Oterino,74.5,75.5
187754,Marlos Romero Bonfim,80.25,81.125
188616,Marco Sau,72.75,73.625
188942,Victor Wanyama,77.625,79.875
189060,Aleksandar Dragović,76.75,79.5
189324,Alex McCarthy,75.75,77.75
189390,Bastian Oczipka,75.125,75.875
189468,Daniel João Santos Candeias,73.125,73.75
189484,Davide Santon,75.25,76.625
189606,Julian Baumgartlinger,77.375,78.0
189805,Luuk de Jong,78.5,80.0
189936,Robbin Ruiter,70.875,71.125
190854,Peter Pekarík,75.375,75.5
191210,Sébastien Corchia,75.625,77.25
192537,Maxime Kristof Lestienne,74.625,76.75
193290,Martin Braithwaite Christensen,76.25,78.25
193881,Filip Đuričić,75.0,78.0
194229,Hugo Mallo Novegil,78.25,81.125
194845,Wahbi Khazri,77.5,79.0
195586,Alfreð Finnbogason,76.0,76.875
196801,Edson André Sitoe,75.75,76.75
198368,Tomás Pina Isla,76.25,77.125
198683,Manolo Gabbiadini,77.0,80.0
199550,Bruno Maximiliano Martins Indi,74.875,78.0
199564,Sergio Roberto Carnicer,80.375,84.25
201095,Agustín Federico Marchesín,78.25,79.125
201143,Aïssa Mandi,78.5,81.875
201454,Faouzi Ghoulam,78.5,80.75
201455,Geoffrey Edwin Kondogbia,78.375,81.75
201818,Ahmed Musa,74.75,78.125
201982,Jonathan Schmid,75.25,76.125
202493,Aleix Vidal Parreu,76.75,77.625
202685,Simone Zaza,78.625,80.875
202857,Karim Bellarabi,80.75,81.5
203030,Robin Knoche,75.75,78.625
203106,Leonardo Jesus Loureiro Bittencourt,76.625,80.125
203280,Valère Germain,76.25,77.625
203483,Davy Klaassen,78.875,82.0
203965,Viktor Gorridsen Fischer,74.875,79.875
204401,Diogo José Rosário Gomes Figueiras,74.125,76.125
204529,Michy Batshuayi Tunga,78.5,82.625
204555,Ricardo Gabriel Álvarez,74.25,74.5
204713,Joel Nathaniel Campbell Samuels,75.875,79.25
205402,Jean-Paul Boëtius,75.25,79.625
205632,Lucas Ariel Ocampos,77.625,81.75
205988,Luke Shaw,79.625,85.5
206511,Maximilian Arnold,78.375,82.625
207410,Mateo Kovačić,80.625,86.375
208004,Joël Ivo Veltman,77.25,79.25
208330,Adnan Januzaj,77.625,84.25
210047,Fabian Lukas Schär,76.625,80.875
210126,清武 弘嗣,74.0,75.0
211575,André Filipe Tavares Gomes,79.625,84.25
211862,André Hahn,75.125,76.125
212067,Camilo Andrés Vargas Gil,75.25,76.5
212150,Maximilian Meyer,77.25,83.5
213135,Divock Okoth Origi,76.875,83.375
213899,Éder Fabián Álvarez Balanta,75.375,79.75
214997,Ángel Martín Correa,79.625,86.5
216692,Sebastián Alberto Torrico,74.375,74.375
217699,Islam Slimani,77.875,78.5
18122,Nicolas Penneteau,72.75,72.75
49000,Allan James McGregor,74.5,74.5
134779,Jimmy Briand,75.5,75.5
144429,Oscar Wendt,75.75,75.75
152996,Per Ciljan Skjelbred,75.875,76.25
154472,Jorge Molina Vidal,75.75,75.75
155946,Robert Snodgrass,75.0,75.125
162297,Daniele Padelli,74.375,74.375
162329,Karim El Ahmadi Al Aroos,75.875,75.875
163587,Kasper Peter Schmeichel,81.25,82.0
168965,Rémy Riou,73.0,73.25
169595,Danny Rose,78.375,79.75
169705,Ryan Bertrand,77.75,78.75
170320,Lorenzo De Silvestri,75.75,76.625
172018,Jonathan Ramón Maidana,75.25,75.25
173608,José Luis Sanmartín Mato,75.125,76.375
176237,Jozy Altidore,74.625,75.5
176687,Andreas Beck,73.125,73.375
178322,Miguel Arturo Layún Prado,76.625,76.75
179547,Vito Mannone,72.125,73.0
179560,Miralem Sulejmani,75.5,76.25
180283,기성용 寄诚庸,75.5,76.375
181098,長谷 部誠,76.375,76.375
181318,Albin Ekdal,75.5,76.75
182440,Robbie Kruse,71.625,72.5
182945,Max-Alain Gradel,77.25,78.0
183287,Fabien Lemoine,73.375,73.625
183453,Prince Oniangué,71.25,71.75
183497,Orestis Spyridon Karnezis,77.75,77.75
183580,Nils Petersen,76.125,76.875
183895,Maximiliano Nicol Moralez,74.75,75.25
183940,Vurnon San Benito Anita,70.5,71.125
184037,Martin Kelly,74.25,75.5
184392,Matteo Darmian,77.5,79.0
184624,Jordan Rhodes,71.75,72.625
186392,Joel Ward,74.75,75.875
186745,Matías Augusto Pérez García,72.5,72.5
187043,Stefan Marius Johansen,73.25,75.375
187702,Omar El Kaddouri,75.625,77.25
187936,Steven N'Kemboanza Mike Christopher Nzonzi,79.625,80.875
188268,Lautaro Germán Acosta,75.875,76.25
188274,Mustapha Yatabaré,70.375,70.375
188388,Ryad Boudebouz,77.25,78.75
188674,Mustafa Pektemek,70.875,71.625
189117,Roman Bürki,81.125,83.875
189165,Jonjo Shelvey,76.5,79.75
189357,Cristopher Benjamín Toselli Ríos,72.875,73.5
189725,Tom Cleverley,75.75,76.625
190156,Rubén Salvador Pérez del Mármol,75.125,76.625
192397,Rafael Cabral Barbosa,73.75,76.0
192445,Daniel Ginczek,75.75,77.5
192991,Cenk Tosun,76.625,79.0
193158,David Petrus Wenceslaus Henri Pröpper,76.25,79.0
193408,Haris Seferović,75.75,78.5
193886,Daniel Didavi,77.0,78.25
194932,Andros Townsend,76.875,79.125
195671,Charlie Austin,75.375,76.375
198006,Jens Toornstra,75.0,75.625
198118,Josuha Guilavogui,78.25,80.125
198198,Jordi Amat Maas,74.0,77.875
199354,Lucas Pérez Martínez,78.5,78.75
199412,Sebastião de Freitas Couto Júnior,73.375,75.125
199626,André Filipe Brás André,76.75,78.0
199779,André Hoffmann,72.75,76.375
199914,Allan Marques Loureiro,81.125,82.375
200278,Santiago García,73.125,73.625
200754,Tolga Ciğerci,72.625,75.125
200857,Moritz Leitner,72.875,75.75
201122,Tomáš Kalas,72.625,77.625
201325,Anton Ciprian Tătărușanu,76.875,76.875
201377,Jeison Fabián Murillo Cerón,78.0,81.5
201505,David López Silva,77.0,78.25
201858,Nicola Domenico Sansone,76.125,78.75
201860,Ermin Bičakčić,75.875,77.125
201878,Valentin Eysseric,74.75,76.75
201953,Juan Manuel Sánchez Miño,73.5,74.75
201988,Federico Fernández,76.75,77.75
202651,Jesús Joaquín Fernández Sáez de la Torre,79.25,83.5
203485,Terence Kongolo,74.5,79.375
204077,M'Baye Babacar Niang,76.5,82.75
204311,Kurt Happy Zouma,78.625,85.125
204738,Alex Renato Ibarra Mina,73.875,75.125
204838,Raúl Alonso Jiménez Rodríguez,79.0,80.875
205340,Marcelo dos Santos Ferreira,74.5,75.375
205452,Antonio Rüdiger,79.5,83.75
205569,James Ward-Prowse,77.25,83.75
206413,Taras Stepanenko,78.5,79.5
206545,Manuel Trigueros Muñoz,79.375,82.375
206590,Moisés Gómez Bordonado,75.0,79.625
207431,Pablo Ínsua Blanco,73.5,78.0
208333,Emre Can,79.25,84.375
208421,Saúl Ñíguez Esclápez,81.0,86.875
208670,Hakim Ziyech,81.0,84.5
208722,Sadio Mané,83.5,86.25
208777,Óliver Torres Muñoz,77.625,83.875
208808,Quincy Anton Promes,80.5,83.0
209297,Frederico Rodrigues de Paula Santos,79.25,83.625
209610,José Juan Vázquez Gómez,73.75,74.0
210896,Morgan Sanson,78.0,81.875
210930,Carles Gil de Pareja Vicent,75.875,80.0
211022,Rubén García Santos,74.625,79.0
211688,José Luís Gayà Peña,79.875,85.25
214207,Édgar Felipe Pardo Castro,75.125,76.25
214763,Paolo Duval Goltz,74.375,74.375
215051,Lisandro Ezequiel López Dessypris,76.875,78.5
215333,Duván Esteban Zapata Banguera,79.0,81.375
215399,Rúben Miguel Nunes Vezo,76.125,81.875
215716,Aleksandar Mitrović,75.875,81.25
216749,Carlos Manuel Cardoso Mané,74.625,79.0
219411,José Heriberto Izquierdo Mena,75.25,77.0
220295,Enner Remberto Valencia Lastra,75.125,76.0
18115,Rúben Miguel Marques dos Santos Fernandes,71.5,71.5
134820,Scott Brown,74.25,74.25
157665,Scott Dann,75.625,75.75
157804,Scott Carson,71.625,71.625
161663,Mario Sebastián Viera Galain,72.25,72.25
163301,Jonathan Emmanuel Orozco Domínguez,75.625,75.625
163303,Glenn Whelan,71.375,71.375
165536,Gustavo Daniel Cabral Cáceres,76.375,76.375
166074,Tiago Manuel Dias Correia,73.5,74.375
169710,Liam Robert Bridcutt,71.5,72.625
171146,Raïs M'Bolhi Ouhab,69.75,69.75
173030,Óscar Guido Trejo,75.125,75.625
